"Pclass","SibSp","Parch","Survived","Sex","Age","Fare","Embarked","Price","FamilySize","Child","AgeInterval"
"1",0,0,"0","male",33,5,"S",5,1,"0","3"
"1",0,0,"1","female",30,86.5,"S",28.8333333333333,1,"0","3"
"1",0,0,"1","female",33,86.5,"S",28.8333333333333,1,"0","3"
"1",0,0,"1","female",16,86.5,"S",28.8333333333333,1,"0","2"
"1",0,0,"0","male",47,38.5,"S",38.5,1,"0","4"
"1",0,0,"1","female",22,151.55,"S",37.8875,1,"0","3"
"1",0,0,"1","female",58,26.55,"S",26.55,1,"0","5"
"1",0,0,"1","male",26,30,"C",30,1,"0","3"
"1",0,0,"1","male",35,26.55,"C",26.55,1,"0","3"
"1",0,0,"1","male",40,26.55,"S",26.55,1,"0","4"
"1",0,0,"1","male",45,26.55,"S",26.55,1,"0","4"
"1",0,0,"0","male",39,0,"S",0,1,"0","3"
"1",0,0,"0","male",45,0,"S",0,1,"0","4"
"1",0,0,"1","female",19,30,"S",30,1,"0","3"
"1",0,0,"0","male",28,0,"S",0,1,"0","3"
"1",0,0,"0","male",40,0,"S",0,1,"0","4"
"1",0,0,"1","male",40,31,"C",31,1,"0","4"
"1",0,0,"0","male",31,39.6,"C",39.6,1,"0","3"
"1",0,0,"0","male",19,26.55,"S",26.55,1,"0","3"
"1",0,0,"0","male",45.5,28.5,"S",28.5,1,"0","4"
"1",0,0,"0","male",45,26.55,"S",26.55,1,"0","4"
"1",0,0,"0","male",30,27.75,"C",27.75,1,"0","3"
"1",0,0,"1","male",51,26.55,"S",26.55,1,"0","4"
"1",0,0,"0","male",25,26,"S",26,1,"0","3"
"1",0,0,"0","male",28,47.1,"S",47.1,1,"0","3"
"1",0,0,"0","male",29,30,"S",30,1,"0","3"
"1",0,0,"1","female",38,227.525,"C",56.88125,1,"0","3"
"1",0,0,"1","female",30,56.9292,"C",28.4646,1,"0","3"
"1",0,0,"0","male",46,227.525,"C",56.88125,1,"0","4"
"1",0,0,"1","female",29,211.3375,"S",70.4458333333333,1,"0","3"
"1",0,0,"0","male",48,35,"S",35,1,"0","4"
"1",0,0,"0","male",62,26.55,"S",26.55,1,"0","5"
"1",0,0,"1","female",62,80,"S",40,1,"0","5"
"1",0,0,"1","female",38,80,"S",40,1,"0","3"
"1",0,0,"0","male",22,135.6333,"C",45.2111,1,"0","3"
"1",0,0,"0","male",64,26,"S",26,1,"0","5"
"1",0,0,"0","male",58,29.7,"C",29.7,1,"0","5"
"1",0,0,"1","male",8,29.7,"C",29.7,1,"1","1"
"1",0,0,"0","male",24,50,"S",50,1,"0","3"
"1",0,0,"0","male",31,50.4958,"S",50.4958,1,"0","3"
"1",0,0,"0","male",47,52,"S",26,1,"0","4"
"1",0,0,"0","male",46,79.2,"C",39.6,1,"0","4"
"1",0,0,"0","male",24,79.2,"C",39.6,1,"0","3"
"1",0,0,"0","female",50,28.7125,"C",28.7125,1,"0","4"
"1",0,0,"1","female",30,93.5,"S",46.75,1,"0","3"
"1",0,0,"0","male",36,40.125,"C",40.125,1,"0","3"
"1",0,0,"1","male",56,35.5,"C",35.5,1,"0","5"
"1",0,0,"0","male",45,35.5,"S",35.5,1,"0","4"
"1",0,0,"1","male",52,30.5,"S",30.5,1,"0","4"
"1",0,0,"0","male",55,30.5,"S",30.5,1,"0","5"
"1",0,0,"1","male",28,35.5,"S",35.5,1,"0","3"
"1",0,0,"1","male",80,30,"S",30,1,"0","5"
"1",0,0,"0","male",37,27.7208,"C",27.7208,1,"0","3"
"1",0,0,"0","male",56,26.55,"S",26.55,1,"0","5"
"1",0,0,"1","male",34,26.55,"S",26.55,1,"0","3"
"1",0,0,"0","male",28,42.4,"S",42.4,1,"0","3"
"1",0,0,"0","male",19,31,"S",15.5,1,"0","3"
"1",0,0,"1","female",30,31,"C",15.5,1,"0","3"
"1",0,0,"0","male",60,26.55,"S",26.55,1,"0","5"
"1",0,0,"0","male",32,27.7208,"C",27.7208,1,"0","3"
"1",0,0,"0","male",71,34.6542,"C",34.6542,1,"0","5"
"1",0,0,"1","male",27,30.5,"S",30.5,1,"0","3"
"1",0,0,"1","male",35,512.3292,"C",170.7764,1,"0","3"
"1",0,0,"1","female",24,69.3,"C",34.65,1,"0","3"
"1",0,0,"0","male",62,26.55,"S",26.55,1,"0","5"
"1",0,0,"1","female",24,49.5042,"C",49.5042,1,"0","3"
"1",0,0,"0","male",52,221.7792,"S",221.7792,1,"0","4"
"1",0,0,"1","female",42,227.525,"C",56.88125,1,"0","4"
"1",0,0,"1","female",41,134.5,"C",67.25,1,"0","4"
"1",0,0,"1","male",40,30,"S",30,1,"0","4"
"1",0,0,"1","female",32,110.8833,"C",27.720825,1,"0","3"
"1",0,0,"0","male",47,25.5875,"S",25.5875,1,"0","4"
"1",0,0,"1","female",36,135.6333,"C",45.2111,1,"0","3"
"1",0,0,"1","female",24,83.1583,"C",41.57915,1,"0","3"
"1",0,0,"1","female",35,135.6333,"S",45.2111,1,"0","3"
"1",0,0,"1","female",30,106.425,"C",53.2125,1,"0","3"
"1",0,0,"0","male",54,51.8625,"S",51.8625,1,"0","4"
"1",0,0,"1","female",40,153.4625,"S",51.1541666666667,1,"0","4"
"1",0,0,"1","female",32,76.2917,"C",76.2917,1,"0","3"
"1",0,0,"1","female",48,25.9292,"S",25.9292,1,"0","4"
"1",0,0,"0","male",65,26.55,"S",26.55,1,"0","5"
"1",0,0,"0","male",45,52,"S",26,1,"0","4"
"1",0,0,"1","male",28,26.55,"S",26.55,1,"0","3"
"1",0,0,"0","male",56,30.6958,"C",30.6958,1,"0","5"
"1",0,0,"0","male",61,33.5,"S",33.5,1,"0","5"
"1",0,0,"1","female",26,78.85,"S",39.425,1,"0","3"
"1",0,0,"1","male",36,26.2875,"S",26.2875,1,"0","3"
"1",0,0,"1","male",32,30.5,"C",30.5,1,"0","3"
"1",0,0,"1","female",21,77.9583,"S",25.9861,1,"0","3"
"1",0,0,"1","male",26,35.5,"S",35.5,1,"0","3"
"1",0,0,"0","male",40,27.7208,"C",27.7208,1,"0","4"
"1",0,0,"1","female",24,69.3,"C",34.65,1,"0","3"
"1",0,0,"1","female",49,25.9292,"S",25.9292,1,"0","4"
"1",0,0,"1","female",24,79.2,"C",79.2,1,"0","3"
"1",0,0,"1","male",48,26.55,"S",26.55,1,"0","4"
"1",0,0,"0","male",61,32.3208,"S",32.3208,1,"0","5"
"1",0,0,"0","male",47,34.0208,"S",34.0208,1,"0","4"
"1",0,0,"1","female",44,27.7208,"C",27.7208,1,"0","4"
"1",0,0,"0","male",22,25.925,"S",25.925,1,"0","3"
"1",0,0,"1","female",58,146.5208,"C",73.2604,1,"0","5"
"1",0,0,"1","male",36,26.3875,"S",26.3875,1,"0","3"
"1",0,0,"1","male",35,26.2875,"S",26.2875,1,"0","3"
"1",0,0,"1","male",42,26.2875,"S",26.2875,1,"0","4"
"1",0,0,"1","female",35,512.3292,"C",170.7764,1,"0","3"
"1",0,0,"0","male",38,0,"S",0,1,"0","3"
"1",0,0,"1","male",40,30.5,"S",30.5,1,"0","4"
"1",0,0,"0","male",71,49.5042,"C",49.5042,1,"0","5"
"1",0,0,"1","male",27,76.7292,"C",25.5764,1,"0","3"
"1",0,0,"0","male",56,30.6958,"C",30.6958,1,"0","5"
"1",0,1,"0","male",38,153.4625,"S",51.1541666666667,2,"0","3"
"1",0,1,"0","male",65,61.9792,"C",61.9792,2,"0","5"
"1",0,1,"1","female",58,153.4625,"S",51.1541666666667,2,"0","5"
"1",0,1,"0","male",54,77.2875,"S",38.64375,2,"0","4"
"1",0,1,"1","female",16,57.9792,"C",28.9896,2,"0","2"
"1",0,1,"0","male",21,77.2875,"S",38.64375,2,"0","3"
"1",0,1,"1","female",22,55,"S",27.5,2,"0","3"
"1",0,1,"1","female",20,55,"S",27.5,2,"0","3"
"1",0,1,"1","male",36,512.3292,"C",170.7764,2,"0","3"
"1",0,1,"1","female",44,57.9792,"C",28.9896,2,"0","4"
"1",0,1,"1","female",56,83.1583,"C",41.57915,2,"0","5"
"1",0,1,"1","female",16,39.4,"S",39.4,2,"0","2"
"1",0,1,"1","female",15,211.3375,"S",70.4458333333333,2,"0","2"
"1",0,1,"0","male",51,61.3792,"C",61.3792,2,"0","4"
"1",0,1,"0","male",24,247.5208,"C",123.7604,2,"0","3"
"1",0,1,"1","female",43,211.3375,"S",70.4458333333333,2,"0","4"
"1",0,1,"1","female",50,247.5208,"C",123.7604,2,"0","4"
"1",0,1,"1","male",23,63.3583,"C",63.3583,2,"0","3"
"1",0,1,"0","male",37,29.7,"C",29.7,2,"0","3"
"1",0,2,"1","female",31,164.8667,"S",82.43335,3,"0","3"
"1",0,2,"1","female",36,71,"S",35.5,3,"0","3"
"1",0,2,"1","female",18,79.65,"S",26.55,3,"0","3"
"1",0,2,"1","female",22,49.5,"C",49.5,3,"0","3"
"1",0,2,"0","male",58,113.275,"C",37.7583333333333,3,"0","5"
"1",0,2,"1","male",17,110.8833,"C",27.720825,3,"0","2"
"1",0,2,"0","male",27,211.5,"C",211.5,3,"0","3"
"1",0,2,"1","male",4,81.8583,"S",81.8583,3,"1","1"
"1",0,2,"1","female",19,26.2833,"S",26.2833,3,"0","3"
"1",1,0,"1","male",48,76.7292,"C",25.5764,2,"0","4"
"1",1,0,"1","female",33,51.8625,"S",51.8625,2,"0","3"
"1",1,0,"0","male",28,82.1708,"C",41.0854,2,"0","3"
"1",1,0,"1","female",35,90,"S",45,2,"0","3"
"1",1,0,"1","male",31,57,"S",28.5,2,"0","3"
"1",1,0,"1","female",22,66.6,"S",33.3,2,"0","3"
"1",1,0,"1","male",49,89.1042,"C",44.5521,2,"0","4"
"1",1,0,"1","female",63,77.9583,"S",25.9861,2,"0","5"
"1",1,0,"1","female",33,90,"Q",45,2,"0","3"
"1",1,0,"1","female",31,113.275,"C",37.7583333333333,2,"0","3"
"1",1,0,"1","female",23,113.275,"C",37.7583333333333,2,"0","3"
"1",1,0,"0","male",29,66.6,"S",33.3,2,"0","3"
"1",1,0,"1","male",27,53.1,"S",26.55,2,"0","3"
"1",1,0,"1","female",54,59.4,"C",59.4,2,"0","4"
"1",1,0,"0","male",50,106.425,"C",53.2125,2,"0","4"
"1",1,0,"0","male",37,53.1,"S",26.55,2,"0","3"
"1",1,0,"0","male",42,52,"S",26,2,"0","4"
"1",1,0,"1","male",49,56.9292,"C",28.4646,2,"0","4"
"1",1,0,"1","female",54,78.2667,"C",39.13335,2,"0","4"
"1",1,0,"1","female",35,52,"S",26,2,"0","3"
"1",1,0,"1","female",35,83.475,"S",41.7375,2,"0","3"
"1",1,0,"0","male",45,83.475,"S",41.7375,2,"0","4"
"1",1,0,"1","female",22,133.65,"S",66.825,2,"0","3"
"1",1,0,"1","female",35,53.1,"S",26.55,2,"0","3"
"1",1,0,"1","female",9,89.1042,"C",44.5521,2,"0","1"
"1",1,0,"0","male",46,61.175,"S",61.175,2,"0","4"
"1",1,0,"1","female",33,53.1,"S",26.55,2,"0","3"
"1",1,0,"0","male",19,53.1,"S",53.1,2,"0","3"
"1",1,0,"1","female",18,227.525,"C",56.88125,2,"0","3"
"1",1,0,"0","male",50,55.9,"S",27.95,2,"0","4"
"1",1,0,"1","male",25,91.0792,"C",45.5396,2,"0","3"
"1",1,0,"1","female",17,108.9,"C",54.45,2,"0","2"
"1",1,0,"1","female",17,57,"S",28.5,2,"0","2"
"1",1,0,"1","male",42,52.5542,"S",52.5542,2,"0","4"
"1",1,0,"1","female",48,39.6,"C",39.6,2,"0","4"
"1",1,0,"1","female",51,77.9583,"S",25.9861,2,"0","4"
"1",1,0,"0","male",31,52,"S",52,2,"0","3"
"1",1,0,"1","male",25,55.4417,"C",55.4417,2,"0","3"
"1",1,0,"1","male",38,90,"S",45,2,"0","3"
"1",1,0,"1","female",39,55.9,"S",27.95,2,"0","3"
"1",1,0,"1","female",58,82.1708,"C",41.0854,2,"0","5"
"1",1,0,"1","female",63,52,"S",26,2,"0","5"
"1",1,0,"1","female",60,75.25,"C",75.25,2,"0","5"
"1",1,0,"0","male",36,78.85,"S",39.425,2,"0","3"
"1",1,0,"1","female",38,71.2833,"C",71.2833,2,"0","3"
"1",1,0,"1","female",19,146.5208,"C",73.2604,2,"0","3"
"1",1,0,"1","female",49,76.7292,"C",25.5764,2,"0","4"
"1",1,0,"1","female",19,91.0792,"C",45.5396,2,"0","3"
